Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,1358624082.95,1358624083.47
,,Preview,1358624083.99,1358624087.65
,,Google Chrome,1358624088.17,1358624088.69
,,Preview,1358624089.21,1358624109.48
,,Google Chrome,1358624109.99,1358624112.08
,,Preview,1358624112.60,1358624114.68
,,Google Chrome,1358624115.20,1358624119.36
,,Google Chrome,1358624120.40,1358624120.93
,,Google Chrome,1358624121.98,1358624124.05
,,Google Chrome,1358624125.09,1358624130.80
,,Preview,1358624131.33,1358624132.89
,,Finder,1358624133.41,1358624149.56
,,Preview,1358624150.09,1358624152.68
,,Finder,1358624153.20,1358624178.69
,,Preview,1358624179.21,1358624194.84
,,Finder,1358624195.36,1358624206.28
,,Preview,1358624206.80,1358624219.82
,,Finder,1358624220.34,1358624222.95
,,Preview,1358624223.49,1358624231.79
,,Finder,1358624232.31,1358624236.51
,,Google Chrome,1358624237.03,1358624294.56
,,Finder,1358624295.08,1358624297.19
,,Preview,1358624297.70,1358624298.74
,,Google Chrome,1358624299.26,1358624304.47
,,Preview,1358624304.99,1358624306.03
,,Google Chrome,1358624306.55,1358624310.19
,,Preview,1358624310.71,1358624312.79
,,Google Chrome,1358624314.35,1358624430.00
,,Preview,1358624430.52,1358624431.56
,,Google Chrome,1358624432.08,1358624433.11
,,Preview,1358624433.63,1358624434.67
,,Google Chrome,1358624435.19,1358624435.72
,,Finder,1358624436.24,1358624482.91
,,Preview,1358624483.43,1358624487.63
,,Finder,1358624488.16,1358624497.01
,,Preview,1358624497.54,1358624505.35
,,Finder,1358624505.88,1358624509.00
,,Preview,1358624509.52,1358624527.72
,,Finder,1358624528.24,1358624556.34
,,Preview,1358624556.86,1358624559.46
,,Finder,1358624559.99,1358624581.85
,,Preview,1358624582.37,1358624583.42
,,Finder,1358624583.94,1358624588.10
,,Preview,1358624588.62,1358624589.66
,,Finder,1358624590.19,1358624596.46
,,Preview,1358624596.98,1358624597.50
,,Finder,1358624598.03,1358624604.26
,,Preview,1358624604.78,1358624606.35
,,Finder,1358624606.87,1358624608.98
,,Google Chrome,1358624609.50,1358624611.57
,,Finder,1358624612.09,1358624612.64
,,Google Chrome,1358624613.16,1358624667.29
,,Finder,1358624667.81,1358624668.85
,,Preview,1358624669.37,1358624670.41
,,Google Chrome,1358624670.93,1358624676.14
,,Google Chrome,1358624677.18,1358624679.26
,,Google Chrome,1358624680.30,1358624685.50
,,Preview,1358624686.02,1358624687.58
,,Finder,1358624688.10,1358624689.14
,,Preview,1358624689.65,1358624690.17
,,Google Chrome,1358624690.69,1358624695.88
,,Finder,1358624697.44,1358624708.88
,,Preview,1358624709.41,1358624722.96
,,Finder,1358624723.49,1358624728.16
,,Preview,1358624728.69,1358624730.25
,,Finder,1358624730.78,1358624740.68
,,Preview,1358624741.20,1358624742.25
,,Finder,1358624742.76,1358624768.77
,,Preview,1358624769.29,1358624770.34
,,Finder,1358624770.86,1358624773.55
,,Preview,1358624774.08,1358624786.05
,,Finder,1358624786.57,1358624789.17
,,Finder,1358624790.20,1358624792.29
,,Google Chrome,1358624792.81,1358624796.97
,,Finder,1358624797.49,1358624798.53
,,Google Chrome,1358624799.06,1358624902.13
,,Finder,1358624902.70,1358624908.96
,,Google Chrome,1358624909.48,1358624925.59
,,Google Chrome,1358624927.15,1358624928.72
,,Tweetbot,1358624929.25,1358624929.77
,,Google Chrome,1358624930.30,1358624997.65
,,Tweetbot,1358624998.18,1358624999.22
,,Finder,1358625000.27,1358625002.09
,,Finder,1358625003.13,1358625003.65
,,Preview,1358625004.18,1358625007.30
,,Google Chrome,1358625007.82,1358625012.52
